,gini,mpr,tau,theil,nump,entropy,hhi,nc
2022-02-21,0.9432852052802663,0.0923505837253877,69,2.772014049087998,483,7.350663169563469,169.2090577393747,34
2022-02-22,0.9417053771045991,0.09229966973752825,72,2.7423796722518774,494,7.39341653806478,164.60309147572914,34
2022-02-23,0.9425531971465112,0.08154059680777238,74,2.749049033293471,473,7.3837946839641475,155.93870110056434,34
2022-02-24,0.9392530774687106,0.08358052695864596,72,2.700578637835344,523,7.453722683121501,152.38201772292086,35
2022-02-25,0.9305105048922357,0.08731773482536453,91,2.557602338495224,534,7.659993881144157,140.04896855679624,45
2022-02-26,0.9293444835726985,0.08533241946538725,92,2.548377211589699,554,7.673302925982353,139.95579891961307,45
2022-02-27,0.9256105382926221,0.08864643709512444,97,2.498878787789384,577,7.744714056530822,139.37535985224775,48
2022-02-28,0.9276020972661342,0.08911739502999143,94,2.5282731348465246,553,7.70230697780139,142.2403734812457,46
2022-03-01,0.9299765559431622,0.08748522209086303,92,2.5456353704232617,549,7.677258566636065,139.14930871745702,46
2022-03-02,0.9271015362724827,0.08440302444170916,98,2.5148035365532944,558,7.721739500461759,136.35997239376513,48
2022-03-03,0.9267902381496931,0.09508716323296355,99,2.519396748589763,562,7.71511289623502,148.15676802494647,48
2022-03-04,0.92716421321503,0.08473684210526315,97,2.515594852015993,564,7.720597873567937,138.13173284087472,49
2022-03-05,0.9276746039285224,0.09194214876033058,94,2.5382903604049867,567,7.687855176164743,147.90442934225868,46
2022-03-06,0.9287265473792313,0.08505154639175258,94,2.5384988204409327,555,7.687554431904667,140.0686104320917,45
2022-03-07,0.9296018918668026,0.090639707164023,89,2.5677647883176493,554,7.645332565182094,148.4411908193953,43
2022-03-08,0.9250589295894152,0.09204152249134948,98,2.491924956926977,576,7.754746313831234,142.07025777948135,49
2022-03-09,0.9316032747391846,0.08952042628774423,90,2.5727654006748915,535,7.638118206532875,144.83182898012134,46
2022-03-10,0.9288234945517602,0.09011432414256892,90,2.550493342373912,565,7.670249994594091,146.4067197034693,44
