,gini,mpr,tau,theil,nump,entropy,hhi,nc
2022-10-24,0.9979196370774595,0.2898876404494382,4,6.938365964018033,407,3.957730412193963,1485.5581681605624,3
2022-10-25,0.9981606042237349,0.3013143176733781,4,7.040265875807834,383,3.8107199147878164,1570.1936755851802,3
2022-10-26,0.9980228294767248,0.3303097962601172,4,7.033961495138487,400,3.8198152135156023,1675.0756296459754,2
2022-10-27,0.9978541847154289,0.3064786372521642,4,6.986099859055664,425,3.8888649585410002,1576.1741219930752,3
2022-10-28,0.9979945225694408,0.30956375838926176,4,7.021731302316818,409,3.8374596520482855,1601.6788220250307,2
2022-10-29,0.9981482171782403,0.2697902097902098,4,7.057331172464042,390,3.786099895930553,1513.6638466428926,3
2022-10-30,0.9980014024561513,0.2626953125,4,7.017769120307015,408,3.8431758723850997,1517.3320381008775,3
2022-10-31,0.9982255083946211,0.26923614020388215,4,7.068567047755944,377,3.7698899543670517,1525.4592533401076,3
2022-11-01,0.9980312637337587,0.26215496707299984,4,7.03883040714632,404,3.8127908583073444,1584.0017257474635,2
2022-11-02,0.9981750475697964,0.281442146450531,3,7.082393248169171,386,3.7499429635966024,1635.5739424924802,2
2022-11-03,0.9983843968592759,0.2957372466806429,3,7.31678621878981,363,3.41178538726289,1991.3978242578244,2
2022-11-04,0.9983655833693723,0.29603794642857145,3,7.328356301947198,373,3.3950932856691405,1957.1117478973947,2
2022-11-05,0.9983246890649679,0.26463602067905545,3,7.279841447257818,375,3.4650854259390123,1856.5500195040615,2
2022-11-06,0.9985525415303129,0.2562779017857143,3,7.329119365730754,340,3.393992417332722,1853.7416263502398,3
2022-11-07,0.9983975238693411,0.25279017857142855,3,7.269124339285955,361,3.4805469444626334,1831.9885098204234,2
2022-11-08,0.9985882364009938,0.3131891137473831,3,7.470283125717354,345,3.1903361608466323,2114.434311554643,2
2022-11-09,0.9986463680217643,0.3425692695214106,3,7.487237761710351,335,3.1658757915794586,2129.5561942669674,2
2022-11-10,0.997949129067359,0.28403854210305823,3,7.193471706374269,424,3.589690622794485,1809.2619526461403,2
2022-11-11,0.9985358243315996,0.2896098447769543,3,7.387617964901997,345,3.3095967784093347,1996.4266047850847,2
2022-11-12,0.9984220278406912,0.2670200892857143,3,7.247964407150418,357,3.51107427362005,1783.7096233757088,2
2022-11-13,0.9982885680614467,0.27509760178471837,4,7.036829460825363,365,3.8156776136415353,1535.3376628264693,3
2022-11-14,0.9980799147679296,0.25798800055811355,3,7.092039335118731,398,3.7360266017904467,1652.398734888052,3
2022-11-15,0.9983749566004086,0.2984198014263739,3,7.275066306570131,360,3.4719744977285245,1901.027989607726,2
2022-11-16,0.9984256502501306,0.28615384615384615,3,7.284933977998124,350,3.457738457094172,1929.8226808157087,2
2022-11-17,0.9986093385132112,0.27936862690319875,3,7.32517828166957,328,3.399678199763585,1902.7807324464945,2
2022-11-18,0.9983843056107591,0.2672160916329096,3,7.2332029153302635,360,3.5323706046651995,1774.0147802354506,2
2022-11-19,0.998502253649726,0.26950453593859036,3,7.2475327546194475,341,3.511697016585844,1721.592275390812,3
2022-11-20,0.9985320554640247,0.3065754572106659,3,7.255967792126857,339,3.499527829804162,1843.199914618555,2
2022-11-21,0.9985901775593413,0.2394248220019545,3,7.256091664503978,329,3.4993491197399016,1692.0668748333312,3
2022-11-22,0.9987557065617112,0.2746853146853147,3,7.370767547824399,307,3.3339067915640133,1881.760868502147,2
2022-11-23,0.9984905880109,0.2443603755079165,3,7.299840685114859,351,3.4362326246610806,1781.190911421962,3
2022-11-24,0.9983794469591204,0.2704437622104382,3,7.1867872730903075,357,3.599334221544414,1755.7902237665496,2
2022-11-25,0.9983408793845165,0.2445500279485746,3,7.184459629347674,362,3.602692301628889,1710.762872669789,3
2022-11-26,0.9985170933327406,0.28579410532197236,3,7.259502550872286,341,3.4944282508915228,1829.7136807175673,2
2022-11-27,0.998477841177497,0.272663779857522,3,7.329745882143476,356,3.3930885452110613,1910.2205464874376,2
2022-11-28,0.9986219045690684,0.29045296167247386,3,7.386362507842172,327,3.3114080200836744,2010.4031371025424,2
2022-11-29,0.9983879344881096,0.3006152125279642,3,7.335693946103866,366,3.3845073028323367,1982.553885835971,2
2022-11-30,0.9985788213171582,0.3283456859180534,3,7.401674950666316,336,3.2893168347573067,2074.8448851933376,2
2022-12-01,0.9984023569232909,0.27404718693284935,3,7.391417587195769,365,3.304115082168706,2037.1542616984777,2
2022-12-02,0.9983668271587207,0.2595228128924236,3,7.277171007155789,362,3.468938056631151,1869.6000764242635,2
2022-12-03,0.9983612096168314,0.2926148261901438,3,7.296308683509952,371,3.4413282258606213,1871.1843240063945,2
2022-12-04,0.9984927701039297,0.28781101481688565,3,7.310542123201794,349,3.4207937130026234,1852.7687805067028,2
2022-12-05,0.9985949117874615,0.2924132138857783,3,7.28884958303532,331,3.452089433124869,1859.6953378836847,2
2022-12-06,0.998290859007664,0.2790794979079498,3,7.261838137675992,373,3.4910587113922067,1901.009358301747,2
2022-12-07,0.998212231605029,0.2920141342756184,3,7.2480633874627145,387,3.5109314752143947,1919.42404075464,2
2022-12-08,0.9984214179997537,0.3065214355536936,3,7.297668051054425,358,3.439367073045674,1959.6627303696455,2
2022-12-09,0.9981849710119004,0.29138702460850113,3,7.260608320987674,394,3.492832961829509,1979.458351475656,2
2022-12-10,0.9981994933115743,0.29239357990230286,3,7.212281562317036,387,3.5625537369058597,1823.3336531143052,2
2022-12-11,0.9983425734170828,0.2797486033519553,3,7.226037741713517,363,3.5427077651089736,1844.6057395212324,2
2022-12-12,0.998264557673029,0.2942984907769704,3,7.289985399573731,381,3.450450796237777,2021.433775938347,2
2022-12-13,0.9984858444819632,0.29226681582995384,3,7.283579138309941,347,3.459693077593602,1945.8113932469194,2
2022-12-14,0.9984706394928414,0.29219600725952816,3,7.26089147776374,348,3.4924244529528425,1933.0979587444822,2
2022-12-15,0.9984922318802575,0.33230855226383454,3,7.3271648071729185,350,3.396812249271229,2035.9239948745778,2
2022-12-16,0.9984920978366731,0.3090782122905028,3,7.340539152450057,354,3.377517147664572,1982.628507225111,2
2022-12-17,0.9985298072630364,0.3120201033086695,3,7.421817280559614,350,3.2602575953081496,2088.3262209086447,2
2022-12-18,0.9984561940754909,0.30996928232337334,3,7.295650996769583,356,3.4422770672595617,1899.6217197391354,2
2022-12-19,0.9985234866395868,0.35203796761585704,3,7.332734752758826,348,3.3887765163961863,2026.2960219548181,2
2022-12-20,0.998684709716934,0.34165736607142855,3,7.301072939359699,319,3.434454857572895,1898.0719118702104,2
2022-12-21,0.998777597353355,0.3466424682395644,3,7.384068291228085,307,3.3147178750153365,2011.0486807768955,2
2022-12-22,0.9987301599779295,0.3746168849261633,3,7.375008285781603,315,3.327788699943531,2089.5159593013605,2
2022-12-23,0.998628523600379,0.2903899721448468,3,7.24243867210215,322,3.519046224171324,1777.5894041790332,2
2022-12-24,0.9987236261198692,0.3361708065866592,3,7.3064402675281075,306,3.4267114398415495,1870.79472333809,2
2022-12-25,0.9986455416774412,0.32421875,4,7.271282546691698,321,3.4774333093411585,1804.6815054757196,3
2022-12-26,0.9987692082653107,0.3318905333705669,3,7.335663944657051,302,3.3845505857709663,1952.3289981620358,2
2022-12-27,0.9986880166958062,0.33608160983789825,3,7.2975871494927445,318,3.4394837893275225,1893.1366955567476,2
2022-12-28,0.9986858614999362,0.34127979924717694,3,7.302430947510701,318,3.4324956659478496,1945.3702114841838,2
2022-12-29,0.9986498746090492,0.3805334450495741,3,7.326474566404538,325,3.3978080562047683,2079.3087805264017,2
2022-12-30,0.9988116873466539,0.34607870499581356,3,7.308868990531503,292,3.4232075332088536,1911.8392439754002,2
2022-12-31,0.9986300425570033,0.3619871615964276,3,7.324044734967801,326,3.4013135619688204,2035.7128029382486,2
2023-01-01,0.9986098140223305,0.3714445064138316,3,7.317832377755295,332,3.410276098911322,2036.4086307008554,2
2023-01-02,0.9988976868501565,0.40022312090363965,3,7.4379980453173395,280,3.236913686234601,2254.273121369373,2
2023-01-03,0.9987582912940159,0.39034598214285715,3,7.414290621100384,309,3.2711162695846654,2228.175571986599,2
2023-01-04,0.9987192193788191,0.37615062761506274,3,7.413601312390698,315,3.272110731841735,2229.465715080444,2
2023-01-05,0.9987766388643425,0.32196281280581573,3,7.449356161311638,310,3.220527388615681,2085.2707343744546,2
2023-01-06,0.998733418672908,0.35195530726256985,3,7.37902684882238,308,3.321991138973007,2107.505617802185,2
2023-01-07,0.9985974798555746,0.33254223090883706,3,7.285964966566285,329,3.4562510549996257,1966.6034731937345,2
2023-01-08,0.9986466210412163,0.3705512909979065,3,7.2970174999956,324,3.4403056198319324,2043.0124534390188,2
2023-01-09,0.9989210913153116,0.42095716478303336,3,7.4749513678486075,275,3.183601311074381,2421.806619564204,2
2023-01-10,0.9986104792023685,0.40971253139826963,3,7.42282001291167,336,3.258810958316779,2366.2266436483587,2
2023-01-11,0.998896652546049,0.40041928721174,3,7.519524901282313,291,3.119295295434606,2380.411971904893,2
2023-01-12,0.9988026126552946,0.39673001676914477,3,7.5447365073749895,310,3.0829226363519187,2435.684690086437,2
2023-01-13,0.9989016963406431,0.38229544819882716,3,7.5174606781005275,291,3.1222733399822498,2283.0807292919512,2
2023-01-14,0.9988083631864977,0.43430962343096235,3,7.5942358428659755,313,3.0115101905117525,2585.0975220243836,2
2023-01-15,0.9989172132091603,0.4444444444444444,3,7.608907638009815,291,2.990343264416672,2629.877782407168,2
2023-01-16,0.9987281183669897,0.41787709497206704,3,7.519515079665984,321,3.1193094650316637,2448.847570300541,2
2023-01-17,0.998889539685271,0.42155905731418214,3,7.549494829396091,293,3.0760578287691245,2472.567413633064,2
2023-01-18,0.998815694317468,0.4587578506629449,2,7.656888199141003,312,2.921121946813631,2787.8131316992763,2
2023-01-19,0.9987084340071812,0.36354748603351955,3,7.4995318232022425,321,3.1481392100327166,2276.994319777778,2
2023-01-20,0.9988426880567469,0.32142857142857145,3,7.476938769129421,299,3.1807340971022264,2109.825367830229,2
2023-01-21,0.9987586183543146,0.32653915957001256,3,7.4444290613188695,313,3.2276356913412036,2134.8860850124315,2
2023-01-22,0.9987552126939537,0.3058659217877095,3,7.3930490722810225,310,3.3017613467270297,2022.7517087481594,2
2023-01-23,0.9988072964074151,0.3138869504535939,3,7.429950943473312,304,3.2485232001584237,2087.813083001678,2
2023-01-24,0.9986622184394705,0.2901200111638292,3,7.355125156971686,327,3.356473991275088,1917.4184322671842,2
2023-01-25,0.9987615618847845,0.336127409891031,3,7.37253965312147,310,3.331350184040161,1972.4400532397053,2
2023-01-26,0.998698348802349,0.37677923527770024,3,7.363395961822992,318,3.3445417421319377,2092.5064081797336,2
2023-01-27,0.9987973547196587,0.3039284216412694,3,7.241605518780612,292,3.520248210336692,1720.1596101772495,2
2023-01-28,0.9986007955157266,0.2685172269493653,4,7.157951824778226,325,3.6409349798260275,1566.006371763718,3
2023-01-29,0.9987444977559006,0.2695907249615868,3,7.182182712373938,298,3.605977198455465,1597.646505655166,3
2023-01-30,0.9988070902476214,0.3173828125,3,7.353110546816675,298,3.3593804593549876,1908.9161619848082,2
2023-01-31,0.9987074848527676,0.3234678207454977,3,7.437287131153676,326,3.237939318572814,2022.396103075888,2
2023-02-01,0.9987811342633048,0.3265819248498394,3,7.513232703596692,312,3.128373017832084,2178.9861213420386,2
2023-02-02,0.9987975364325641,0.2643887410726789,3,7.436405650011359,301,3.2392110270455228,1989.071394664002,2
2023-02-03,0.9988617012727764,0.3158115476024046,3,7.412221310449243,293,3.2741016537990193,1948.755066142431,2
2023-02-04,0.9988715377026289,0.2898267188373393,3,7.401503528492768,291,3.2895641446770503,1884.884914049926,2
2023-02-05,0.9987643032641902,0.2825844264582752,3,7.353859925746285,310,3.358299334089544,1852.4747331901783,2
2023-02-06,0.9988184110977476,0.2877075484861169,3,7.378416613486857,297,3.3228715224655074,1892.7376103623976,2
2023-02-07,0.9987682122725954,0.30665920537213204,3,7.436871617209244,314,3.23853877847994,2014.3984299966648,2
